Iteration	CPUTime	PhysTime	Travels
1	2	0	0.025
2	2	0	0.05
3	2	0	0.075
4	2	0	0.1
5	3	0	0.125
6	3	0	0.15
7	3	0	0.175
8	3	0	0.2
9	3	0	0.225
10	4	0	0.25
11	4	0	0.275
12	4	0	0.3
13	4	0	0.325
14	5	0	0.35
15	5	0	0.375
16	5	0	0.4
17	5	0	0.425
18	6	0	0.45
19	6	0	0.475
20	6	0	0.5
21	6	0	0.525
22	6	0	0.55
23	7	0	0.575
24	7	0	0.6
25	7	0	0.625
26	7	0	0.65
27	8	0	0.675
28	8	0	0.7
29	8	0	0.725
30	8	0	0.75
31	9	0	0.775
32	9	0	0.8
33	9	0	0.825
34	9	0	0.85
35	9	0	0.875
36	10	0	0.9
37	10	0	0.925
38	10	0	0.95
39	10	0	0.975
40	11	0	1
41	11	0	1.025
42	11	0	1.05
43	11	0	1.075
44	11	0	1.1
45	12	0	1.125
46	12	0	1.15
47	12	0	1.175
48	12	0	1.2
49	13	0	1.225
50	13	0	1.25
51	13	0	1.275
52	13	0	1.3
53	14	0	1.325
54	14	0	1.35
55	14	0	1.375
56	14	0	1.4
57	14	0	1.425
58	15	0	1.45
59	15	0	1.475
60	15	0	1.5
61	15	0	1.525
62	16	0	1.55
63	16	0	1.575
64	16	0	1.6
65	16	0	1.625
66	17	0	1.65
67	17	0	1.675
68	17	0	1.7
69	17	0	1.725
70	18	0	1.75
71	18	0	1.775
72	18	0	1.8
73	18	0	1.825
74	18	0	1.85
75	19	0	1.875
76	19	0	1.9
77	19	0	1.925
78	19	0	1.95
79	20	0	1.975
80	20	0	2
81	20	0	2.025
82	20	0	2.05
83	21	0	2.075
84	21	0	2.1
85	21	0	2.125
86	21	0	2.15
87	21	0	2.175
88	22	0	2.2
89	22	0	2.225
90	22	0	2.25
91	22	0	2.275
92	23	0	2.3
93	23	0	2.325
94	23	0	2.35
95	23	0	2.375
96	24	0	2.4
97	24	0	2.425
98	24	0	2.45
99	25	0	2.475
100	25	0	2.5
101	25	0	2.525
102	25	0	2.55
103	26	0	2.575
104	26	0	2.6
105	26	0	2.625
106	26	0	2.65
107	27	0	2.675
108	27	0	2.7
109	27	0	2.725
110	27	0	2.75
111	28	0	2.775
112	28	0	2.8
113	28	0	2.825
114	29	0	2.85
115	29	0	2.875
